date,residuals,segment
2010-07-15,95.96289178657727,train
2010-07-16,95.978615895261,train
2010-07-17,95.98389859287438,train
2010-07-18,95.93007460183831,train
2010-07-19,95.95908812085943,train
2010-07-20,95.96911343702372,train
2010-07-21,95.96201892852125,train
2010-07-22,95.9668156872214,train
2010-07-23,95.9647505078619,train
2010-07-24,95.96448948758558,train
2010-07-25,95.9601008990585,train
2010-07-26,95.96420921821309,train
2010-07-27,95.96567775789164,train
2010-07-28,95.9589944098019,train
2010-07-29,95.96369433777555,train
2010-07-30,95.95729044783884,train
2010-07-31,95.9690820750302,train
2010-08-01,95.96424263841436,train
2010-08-02,95.95969025776994,train
2010-08-03,95.95954875774491,train
2010-08-04,95.96307572500336,train
2010-08-05,95.96580193355425,train
2010-08-06,95.96472142424669,train
2010-08-07,95.9636367550874,train
2010-08-08,95.96172008568779,train
2010-08-09,95.96221200525615,train
2010-08-10,95.96558291397574,train
2010-08-11,95.96598963352034,train
2010-08-12,95.9677298743847,train
2010-08-13,95.9622167853487,train
2010-08-14,95.96396177500344,train
2010-08-15,95.9606121164349,train
2010-08-16,95.98153882602244,train
2010-08-17,95.97901195183331,train
2010-08-18,95.93100786048417,train
2010-08-19,95.95397501963588,train
2010-08-20,95.96811803242647,train
2010-08-21,95.96707320305786,train
2010-08-22,95.96295914487301,train
2010-08-23,95.96082753678766,train
2010-08-24,95.96053498640038,train
2010-08-25,95.95997469666618,train
2010-08-26,95.96499999415576,train
2010-08-27,95.96503897419099,train
2010-08-28,95.96232069582456,train
2010-08-29,95.95963684706751,train
2010-08-30,95.96167690570587,train
2010-08-31,95.96175826628586,train
2010-09-01,95.9640030845908,train
2010-09-02,95.96142121577263,train
2010-09-03,95.96033037638644,train
2010-09-04,95.9622963156291,train
2010-09-05,95.96076711650207,train
2010-09-06,95.96547178482504,train
2010-09-07,95.96376833688636,train
2010-09-08,95.97791003691884,train
2010-09-09,95.98174559500909,train
2010-09-10,95.97733179308523,train
2010-09-11,95.97404521654464,train
2010-09-12,95.96942942889208,train
2010-09-13,95.95477207184608,train
2010-09-14,95.9651622535203,train
2010-09-15,95.97527356281473,train
2010-09-16,95.96606826447788,train
2010-09-17,95.97365251106656,train
2010-09-18,95.96147626649946,train
2010-09-19,95.96712263240146,train
2010-09-20,95.96824513080037,train
2010-09-21,95.97304509076628,train
2010-09-22,95.97416799433529,train
2010-09-23,95.97277537410494,train
2010-09-24,95.98866295414638,train
2010-09-25,95.99263644029341,train
2010-09-26,95.97252016196994,train
2010-09-27,95.99914431597195,train
2010-09-28,95.95894479194166,train
2010-09-29,95.97482861853244,train
2010-09-30,95.97914097880981,train
2010-10-01,95.9773427101681,train
2010-10-02,95.98850025022021,train
2010-10-03,95.97796885551642,train
2010-10-04,95.97480262011861,train
2010-10-05,96.01730363403686,train
2010-10-06,96.00168406837967,train
2010-10-07,96.06030875832464,train
2010-10-08,96.01714051931326,train
2010-10-09,96.0815307345569,train
2010-10-10,95.80218412568541,train
2010-10-11,96.01420456683546,train
2010-10-12,95.95878153090662,train
2010-10-13,96.00864311220319,train
2010-10-14,96.0217102301233,train
2010-10-15,96.01964521325387,train
2010-10-16,95.99110717082435,train
2010-10-17,95.92371530927542,train
2010-10-18,96.02015671797744,train
2010-10-19,96.0208428960268,train
2010-10-20,95.9997942650628,train
2010-10-21,95.97859202961747,train
2010-10-22,95.97703986803859,train
2010-10-23,96.00122786937277,train
2010-10-24,95.99956311552899,train
2010-10-25,96.00969367321616,train
2010-10-26,95.982956161628,train
2010-10-27,95.99685327046839,train
2010-10-28,95.98909097695024,train
2010-10-29,95.98853472344165,train
2010-10-30,95.97856281235242,train
2010-10-31,95.94296881166586,train
2010-11-01,96.01097040917469,train
2010-11-02,95.98757269209239,train
2010-11-03,95.9937959920594,train
2010-11-04,95.97988856263657,train
2010-11-05,95.94856522347273,train
2010-11-06,95.99728093874843,train
2010-11-07,95.9981882046078,train
2010-11-08,95.99083311828036,train
2010-11-09,95.9538108930422,train
2010-11-10,95.97463403559884,train
2010-11-11,95.98851349703106,train
2010-11-12,95.99745486926237,train
2010-11-13,95.98523712289831,train
2010-11-14,95.98220202755152,train
2010-11-15,95.97688624104781,train
2010-11-16,96.00458744968448,train
2010-11-17,95.97282871024481,train
2010-11-18,95.98176280066932,train
2010-11-19,95.98922449174815,train
2010-11-20,96.00505789717272,train
2010-11-21,95.99318632362788,train
2010-11-22,95.98460407840379,train
2010-11-23,95.96703230198183,train
2010-11-24,95.9871077144003,train
2010-11-25,95.99498494116605,train
2010-11-26,96.00415254461653,train
2010-11-27,96.001056302351,train
2010-11-28,95.9924866849279,train
2010-11-29,95.99138147097227,train
2010-11-30,95.98230365771464,train
2010-12-01,95.97714053029539,train
2010-12-02,95.99484268144711,train
2010-12-03,95.9951406165167,train
2010-12-04,95.99280667925771,train
2010-12-05,96.00147052123513,train
2010-12-06,95.9764327881937,train
2010-12-07,96.01507102306343,train
2010-12-08,95.99056068641673,train
2010-12-09,96.00027607982288,train
2010-12-10,95.98313400878611,train
2010-12-11,95.9988192682708,train
2010-12-12,96.00705083878582,train
2010-12-13,96.01342643768614,train
2010-12-14,96.06518948219426,train
2010-12-15,95.99196210221434,train
2010-12-16,95.9928798349676,train
2010-12-17,95.99532694973716,train
2010-12-18,95.92565579261716,train
2010-12-19,95.99892386968122,train
2010-12-20,96.05031373003108,train
2010-12-21,96.02341727922213,train
2010-12-22,96.0691076344878,train
2010-12-23,96.00485655014965,train
2010-12-24,95.99492132946261,train
2010-12-25,95.99790714037039,train
