prices,volume,macd,signal_line,macd_histogram,stochastic_k,stochastic_d,metrics
0.05756808,445.8,0.0,0.0,0.0,51.67940321182619,43.18141693591545,
0.0664917,497.25,0.000711855726495729,0.0001423711452991458,0.0005694845811965831,51.67940321182619,43.18141693591545,
0.06599255,19.99,0.001221646899944001,0.0003582262962281169,0.0008634206037158842,51.67940321182619,43.18141693591545,
0.0788138,75.13,0.0026299118147545264,0.0008125633999333988,0.0018173484148211276,51.67940321182619,43.18141693591545,
0.07416855,573.24,0.003332721513654463,0.0013165950226776118,0.0020161264909768512,51.67940321182619,43.18141693591545,
0.07195755,262.35,0.003669000092409072,0.0017870760366239039,0.0018819240557851682,51.67940321182619,43.18141693591545,
0.07439057,572.81,0.00408474131402696,0.002246609092104515,0.001838132221922445,51.67940321182619,43.18141693591545,
0.05887483,2167.06,0.0031261918857899557,0.0024225256508416033,0.0007036662349483524,51.67940321182619,43.18141693591545,
0.06263688,2398.46,0.00263967205585168,0.0024659549318436186,0.00017371712400806151,51.67940321182619,43.18141693591545,
0.06975554,496.83,0.002796284131474383,0.0025320207717697716,0.0002642633597046114,51.67940321182619,43.18141693591545,
0.06895142,1555.03,0.002822973089509545,0.0025902112353177265,0.00023276185419181857,51.67940321182619,43.18141693591545,
0.06270989,876.44,0.0023138127792577956,0.0025349315441057403,-0.0002211187648479447,51.67940321182619,43.18141693591545,
0.06799023,3370.9,0.002309753473171583,0.002489895929918909,-0.00018014245674732605,51.67940321182619,43.18141693591545,
0.06786455,4386.99,0.0022702253732673067,0.002445961818588589,-0.00017573644532128214,51.67940321182619,43.18141693591545,
0.06375633,8091.7,0.0018856632964389802,0.0023339021141586674,-0.0004482388177196872,39.06551043461253,43.18141693591545,
0.06366964,3013.58,0.0015559637399901322,0.0021783144393249607,-0.0006223506993348286,38.799337161307626,43.18141693591545,
0.06975885,4033.25,0.0017656692870459817,0.002095785408869165,-0.00033011612182318314,57.49566842836179,45.12017200809398,
0.06046468,2595.17,0.0011684316468527495,0.0019103146564658819,-0.0007418830096131324,28.958816985840212,41.75127419183654,
0.06,3595.64,0.0006501264683896613,0.0016582770188506377,-0.0010081505504609765,30.967580621933465,39.14068867871182,
0.06,9856.36,0.00023663806397110354,0.001373949227874731,-0.0011373111639036274,34.10003230889945,31.34214330555771,
0.0596818,3503.64,-0.00011540029349609016,0.0010760793236005669,-0.001191479617096657,33.05098212460686,32.706198351813256,
0.06076188,5016.59,-0.00030373849044620926,0.0008001157607912116,-0.0011038542512374209,36.686816079883734,34.61261017113001,
0.06181723,1397.31,-0.0003636480351741356,0.0005673630015981422,-0.0009310110367722777,40.162005365493364,36.63326785666132,
0.05964825,2625.28,-0.0005794656210985905,0.00033799727705879565,-0.0009174628981573861,33.01971507629873,36.62284550722527,
0.06085148,2201.06,-0.000645965716952801,0.0001412046782564763,-0.0007871703952092773,36.98186223517879,36.721194225656966,
0.06613738,13620.25,-0.00026903826251432894,5.9156090102315245e-05,-0.0003281943526166442,63.141315421771026,44.380964244416184,
0.06570639,1304.75,-5.039735389997246e-06,4.6316925003852745e-05,-5.135666039384999e-05,66.8061159437745,55.64309786690811,
0.06336595,14095.69,1.5152383985347906e-05,4.008401680015178e-05,-2.4931632814803877e-05,57.08589358357508,62.34444164970687,
0.0611463,2055.26,-0.0001462663530736874,2.8139428253839457e-06,-0.00014908029589907136,47.867331449182956,57.25311365884418,
0.06306071,3601.97,-0.00011835070429573602,-2.1418986598840047e-05,-9.693171769689597e-05,55.2283523455735,53.393859126110506,
0.06299919,4404.59,-0.00010003832187090167,-3.714285365325237e-05,-6.289546821764929e-05,54.97554982083563,52.69041120519736,
0.07724812,4462.17,0.0010521158047795687,0.00018070887803331185,0.0008714069267462568,73.22777940492394,61.14389385711102,
0.09506984,10678.23,0.0033644864076563807,0.0008174643839579256,0.002547022023698455,69.98665375415713,66.06332765997223,
0.06116077,13207.49,0.0024328340149512434,0.0011405383101565892,0.0012922957047946542,17.770340782767253,53.66159131394945,
0.0680466,2957.23,0.0022244793025475024,0.001357326508634772,0.0008671527939127304,28.373776805866246,38.71025711426355,
0.06995843,737.31,0.0021883988947947464,0.0015235409858667668,0.0006648579089279796,30.18739634223077,25.443837976954757,
0.06581428,4171.63,0.0018046042859309608,0.0015797536458796056,0.0002248506400513552,23.700822625552302,27.420665257883105,
0.06839827,10441.99,0.0016894754694601194,0.0016016980105957085,8.777745886441092e-05,27.127844977608934,27.005354648464003,
0.06780827,18735.84,0.0015329560210062126,0.0015879496126778095,-5.499359167159684e-05,26.19646289500072,25.675043499387318,
0.06680966,4305.16,0.0013131960426334133,0.0015329988986689303,-0.00021980285603551706,24.620043468706836,25.981450447105498,
0.06610902,6698.65,0.0010701627143626102,0.0014404316618076662,-0.000370268947445056,23.514003566404075,24.776836643370544,
0.06800457,4244.57,0.0010187683664084207,0.0013560990027278173,-0.00033733063631939653,26.50634476418037,24.88013059976376,
0.06947311,3870.7,0.001084040733493788,0.0013016873488810115,-0.00021764661538722354,26.448792530831312,25.489713620471917,
0.06647771,8983.94,0.000883877024133381,0.0012181252839314853,-0.00033424825979810435,21.562374746188976,24.83917068040022,
0.0667521,6132.59,0.000738869593447794,0.001122274145834747,-0.00038340455238695297,21.740602970853264,23.250590082624516,
0.06034821,3161.99,0.00010598799284286531,0.0009190169152363708,-0.0008130289223935055,11.257806576316204,18.186928097786147,
0.06623912,34120.32,7.88628870373731e-05,0.0007509861095965713,-0.0006721232225591982,31.297921552785773,21.432110366651745,
