residuals,segment
95.96289178657727,train
95.978615895261,train
95.98389859287438,train
95.93007460183831,train
95.95908812085943,train
95.96911343702372,train
95.96201892852125,train
95.9668156872214,train
95.9647505078619,train
95.96448948758558,train
95.9601008990585,train
95.96420921821309,train
95.96567775789164,train
95.9589944098019,train
95.96369433777555,train
95.95729044783884,train
95.9690820750302,train
95.96424263841436,train
95.95969025776994,train
95.95954875774491,train
95.96307572500336,train
95.96580193355425,train
95.96472142424669,train
95.9636367550874,train
95.96172008568779,train
95.96221200525615,train
95.96558291397574,train
95.96598963352034,train
95.9677298743847,train
95.9622167853487,train
95.96396177500344,train
95.9606121164349,train
95.98153882602244,train
95.97901195183331,train
95.93100786048417,train
95.95397501963588,train
95.96811803242647,train
95.96707320305786,train
95.96295914487301,train
95.96082753678766,train
95.96053498640038,train
95.95997469666618,train
95.96499999415576,train
95.96503897419099,train
95.96232069582456,train
95.95963684706751,train
95.96167690570587,train
95.96175826628586,train
95.9640030845908,train
95.96142121577263,train
95.96033037638644,train
95.9622963156291,train
95.96076711650207,train
95.96547178482504,train
95.96376833688636,train
95.97791003691884,train
95.98174559500909,train
95.97733179308523,train
95.97404521654464,train
95.96942942889208,train
95.95477207184608,train
95.9651622535203,train
95.97527356281473,train
95.96606826447788,train
95.97365251106656,train
95.96147626649946,train
95.96712263240146,train
95.96824513080037,train
95.97304509076628,train
95.97416799433529,train
95.97277537410494,train
95.98866295414638,train
95.99263644029341,train
95.97252016196994,train
95.99914431597195,train
95.95894479194166,train
95.97482861853244,train
95.97914097880981,train
95.9773427101681,train
95.98850025022021,train
95.97796885551642,train
95.97480262011861,train
96.01730363403686,train
96.00168406837967,train
96.06030875832464,train
96.01714051931326,train
96.0815307345569,train
95.80218412568541,train
96.01420456683546,train
95.95878153090662,train
96.00864311220319,train
96.0217102301233,train
96.01964521325387,train
95.99110717082435,train
95.92371530927542,train
96.02015671797744,train
96.0208428960268,train
95.9997942650628,train
95.97859202961747,train
95.97703986803859,train
96.00122786937277,train
95.99956311552899,train
96.00969367321616,train
95.982956161628,train
95.99685327046839,train
95.98909097695024,train
95.98853472344165,train
95.97856281235242,train
95.94296881166586,train
96.01097040917469,train
95.98757269209239,train
95.9937959920594,train
95.97988856263657,train
95.94856522347273,train
95.99728093874843,train
95.9981882046078,train
95.99083311828036,train
95.9538108930422,train
95.97463403559884,train
95.98851349703106,train
95.99745486926237,train
95.98523712289831,train
95.98220202755152,train
95.97688624104781,train
96.00458744968448,train
95.97282871024481,train
95.98176280066932,train
95.98922449174815,train
96.00505789717272,train
95.99318632362788,train
95.98460407840379,train
95.96703230198183,train
95.9871077144003,train
95.99498494116605,train
96.00415254461653,train
96.001056302351,train
95.9924866849279,train
95.99138147097227,train
95.98230365771464,train
95.97714053029539,train
95.99484268144711,train
95.9951406165167,train
95.99280667925771,train
96.00147052123513,train
95.9764327881937,train
96.01507102306343,train
95.99056068641673,train
96.00027607982288,train
95.98313400878611,train
95.9988192682708,train
96.00705083878582,train
96.01342643768614,train
96.06518948219426,train
95.99196210221434,train
95.9928798349676,train
95.99532694973716,train
95.92565579261716,train
95.99892386968122,train
96.05031373003108,train
96.02341727922213,train
96.0691076344878,train
96.00485655014965,train
95.99492132946261,train
95.99790714037039,train
96.00670585896742,train
95.99694657213531,train
96.05070507931484,train
96.0184304007901,train
96.02527327334631,train
96.06492609912918,train
96.20158164049401,train
96.16615599923274,train
95.95048936495436,train
96.07959883857004,train
96.18963997252438,train
96.0835544690965,train
96.02452028725173,train
96.09983042154704,train
96.18886285630026,train
96.0811802624329,train
96.17728354544379,train
96.07932098192913,train
96.07612680105012,train
96.08509744682013,train
96.06398781524881,train
96.1090517325433,train
96.0998178162555,train
95.91136438575516,train
96.12806393363836,train
95.9691870190063,train
96.08633186501415,train
96.08167736110899,train
96.07468475569671,train
96.1844353376808,train
96.05410895822257,train
96.05261730204312,train
95.93867789163886,train
95.98662085752359,train
96.17329964304913,train
96.12181720133471,train
96.08929933072083,train
96.02986186958422,train
96.05350966664712,train
96.09774910783639,train
96.0565558253882,train
96.04465354895463,train
96.07107153891144,train
96.13741192781471,train
96.01633810246824,train
96.04526445540587,train
96.01545609221087,train
96.07325441525687,train
96.06622147291164,train
96.06931769266772,train
96.08213088149142,train
96.0565806758201,train
96.01707740281769,train
96.02030939957136,train
96.05666909293656,train
96.031602840423,train
96.06206343741798,train
96.09844870151747,train
96.12519884090663,train
96.0478010902549,train
96.08017625096086,train
96.03512088725707,train
95.95687804184465,train
95.99227739206927,train
96.06609168342756,train
96.02235370774753,train
96.08612905487688,train
96.07406993260132,train
95.96307219207496,train
96.0925110689702,train
96.05478032505435,train
96.04476362016122,train
96.05494630973273,train
96.02808677442046,train
96.05118817711353,train
96.04752814067392,train
96.12330012384787,train
96.16489164347128,train
96.08890928698513,train
95.98544307310375,train
96.10355960701457,train
96.12153313208583,train
96.07154477757139,train
96.16230296677571,train
96.07379563245338,train
96.10432591870308,train
96.15740698149955,train
96.24040526318734,train
96.23502739562274,train
96.11072715586602,train
96.31675434361983,train
96.16057568168206,train
96.51691700951739,train
96.90887296794948,train
96.8300839532617,train
96.23034074822411,train
96.04483299428364,train
96.07951159194495,train
96.50666854733531,train
96.49318844855077,train
96.34681796396875,train
96.5143959512072,train
96.46569162571281,train
96.19383330283436,train
97.87656589388722,train
96.95038633476526,train
97.15358471501946,train
97.10067130260062,train
97.23383432284677,train
97.31888834751093,train
97.00862386218402,train
96.87969549959658,train
96.07757469886035,train
96.95091683746396,train
95.3714651625067,train
